t	h
318.105	24794.1
319.106	24796.7
320.107	24799.2
321.108	24801.8
322.109	24804.3
323.11	24806.9
324.111	24809.4
325.112	24812
326.113	24814.5
327.114	24817.1
328.115	24819.6
329.116	24822.2
330.117	24824.7
331.118	24827.3
332.119	24829.8
333.12	24832.4
334.121	24834.9
335.122	24837.5
336.123	24840
337.124	24842.6
338.125	24845.1
339.126	24847.7
340.127	24850.2
341.128	24852.8
342.129	24855.3
343.13	24857.9
344.131	24860.5
345.132	24863
346.133	24865.6
347.134	24868.1
348.135	24870.7
349.136	24873.2
350.137	24875.8
351.138	24878.3
352.139	24880.9
353.14	24883.4
354.141	24886
355.142	24888.5
356.143	24891.1
357.144	24893.6
358.145	24896.2
359.146	24898.7
360.147	24901.3
361.148	24903.8
362.149	24906.4
363.15	24908.9
364.151	24911.5
365.152	24914
366.153	24916.6
367.154	24919.1
368.155	24921.7
369.156	24924.3
370.157	24926.8
371.158	24929.4
372.159	24931.9
373.16	24934.5
374.161	24937
375.162	24939.6
376.163	24942.1
377.164	24944.7
378.165	24947.2
379.166	24949.8
380.167	24952.3
381.168	24954.9
382.169	24957.4
383.17	24960
384.171	24962.5
385.172	24965.1
386.173	24967.7
387.174	24970.2
388.175	24972.8
389.176	24975.3
390.177	24977.9
391.178	24980.4
392.179	24983
393.18	24985.5
394.181	24988.1
395.182	24990.6
396.183	24993.2
397.184	24995.7
398.185	24998.3
399.186	25000.8
400.187	25003.4
401.188	25005.9
402.189	25008.5
403.19	25011
404.191	25013.5
405.192	25016
406.193	25018.5
407.194	25021
408.195	25023.5
409.196	25025.9
410.197	25028.4
411.198	25030.8
412.199	25033.2
413.2	25035.6
414.201	25038
415.202	25040.3
416.203	25042.7
417.204	25045
418.205	25047.3
419.206	25049.6
420.207	25051.9
421.208	25054.1
422.209	25056.4
423.21	25058.6
424.211	25060.8
425.212	25063
426.213	25065.1
427.214	25067.3
428.215	25069.4
429.216	25071.6
430.217	25073.7
431.218	25075.7
432.219	25077.8
433.22	25079.9
434.221	25081.9
435.222	25083.9
436.223	25085.9
437.224	25087.9
438.225	25089.9
439.226	25091.8
440.227	25093.7
441.228	25095.7
442.229	25097.5
443.23	25099.4
444.231	25101.3
445.232	25103.1
446.233	25105
447.234	25106.8
448.235	25108.6
449.236	25110.3
450.237	25112.1
451.238	25113.8
452.239	25115.6
453.24	25117.3
454.241	25119
455.242	25120.6
456.243	25122.3
457.244	25123.9
458.245	25125.5
459.246	25127.1
460.247	25128.7
461.248	25130.3
462.249	25131.9
463.25	25133.4
464.251	25134.9
